 ,Category,Organization,Start Date,End Date,Location,Description,URL,Graduate Credit,Emily: 👍
Workshop: Get Your Faculty on the Admissions Team Bus,"Leadership, Admissions",Association of Independent Schools New England (AISNE),"Thursday, September 20, 2018",,"Southborough, MA","Do your faculty understand the importance of greeting prospective families in the hallway during a campus tour? Do they understand the importance of talking about the school with the general public? Faculty are some of your most important marketers both inside and outside of your school. The presenters share how their school works with faculty to underscore their role in the admission process. From reminders at faculty meetings to classroom visits from admission officers and prospective families, ensure your faculty are on the admission team bus.

This workshop is a best fit for: Directors of Admission, Directors of Enrollment Management, Heads of School, Assistant Heads of School, Members of Admission Teams

Facilitated by: Bruce Mutch, Director of Admissions, and Brian Storosko, Deputy Head, Ashbury College (ON)",https://www.aisne.org/events,,
"Name it, Face it, End it: Educating to End Sexual Violence and Harassment","Diversity/Equity/Inclusion, Gender Studies, Counseling",Harvard University,"Friday, September 21, 2018",,"Cambridge, MA",This interactive symposium will prepare K-12 and Higher Education practitioners for their role in changing school cultures in this post-MeToo era. ,https://nameit-faceit-endit.weebly.com/,,
Maker Faire - New York,"STEM, Technology, Innovation",Maker Media,"Saturday, September 22, 2018","Sunday, September 23, 2018","New York, NY","We call it the Greatest Show (& Tell) on Earth. Maker Faire is part science fair, part county fair, and part something entirely new! As a celebration of the Maker Movement, it’s a family-friendly showcase of invention, creativity, and resourcefulness. Faire gathers together tech enthusiasts, crafters, educators, tinkerers, food artisans, hobbyists, engineers, science clubs, artists, students, and commercial exhibitors. Makers come to show their creations and share their learnings. Attendees flock to Maker Faire to glimpse the future and find the inspiration to become Makers themselves.",https://makerfaire.com/new-york/,,
Dreamforce,"STEM, Innovation, Technology",Salesforce,"Tuesday, September 25, 2018","Friday, September 28, 2018","San Francisco, CA","Dreamforce is a showcase for discovering and getting inspired by what’s new, and it’s packed with opportunities that will help you and your business innovate, succeed, and stay ahead of the competition.

Whether you’re a company of five or a Fortune 500, what you learn during your four days at Dreamforce will transform your business and lead to a boom in success. The knowledge you gain from 2,700+ breakout sessions, world-renowned leaders and Salesforce experts, hands-on training, hundreds of partners with thousands of innovative solutions, and connecting with your fellow Trailblazers will help you be your best, no matter your industry, role, or company size.

Earn your Get Ready for Dreamforce badge now and start prepping for your perfect four days.",https://www.salesforce.com/dreamforce/get-ready/,,
National Association for College Admission Counseling's National Conference,Counseling,National Association for College Admission Counseling,"Thursday, September 27, 2018","Saturday, September 29, 2018","Salt Lake City, UT","NACAC’s national conference is a dynamic education and networking event held annually to build relationships among college admission counseling professionals, higher education thought leaders, national policymakers, and others who support students and families in the transition from high school to college.

It is the only event of its kind to bring together professionals from both sides of the college admission desk.

At the profession’s preeminent education and networking event:

Hear from leading voices in the field
Fine-tune your skills
Discover new techniques
Explore issues affecting the students you serve.
More than 6,000 admission professionals from across the world gather annually for this three-day event.",https://www.nacacconference.org/,,
Writer as Reader,"Literature, Humanities",The Bard College Institute for Writing & Thinking ,"Friday, September 28, 2018",,"Annandale-on-Hudson, NY","Among the key criteria for English/Language Arts is a focus on the close reading of texts—preparing students to read more carefully, grasp the meaning in more complex texts, and to infer meaning from what they read. IWT’s “Writer as Reader” workshops model writing practices that support close reading and Common Core standards in all subjects, and invite secondary and college teachers to consider “writing to read” as a central classroom practice, one that shows rather than tells students how writing clarifies meaning in literary, historical, and nonfiction texts. These techniques are the starting point for each workshop.

IWT workshops also invite readers to find their own ways into a text. Working with diverse writing-to-read strategies, workshop participants discover what they bring to the text, what is noticeable in the text and what is inferred, and what questions the text poses.
 
This year we will include sessions on novels, poetry, nonfiction, historical documents, STEM texts, and other media. As educators have come to expect, these workshops focus on putting texts into conversations with other texts, with historical events, and digital media.  The “Writer as Reader” workshops also model writing and reading activities that can focus class discussion, help students engage with difficult material, and emphasize the social character of all learning.",http://writingandthinking.org/programs/september/,,
Presidents and the Constitution: George Washington,"Humanities, History",Ashbrook Center at Ashland University and Liberty Fund,"Friday, September 28, 2018","Sunday, September 30, 2018","Valley Forge, PA","TeachingAmericanHistory.org and Liberty Fund are proud to continue their series of weekend colloquia for social studies teachers. These weekend programs allow teachers of American history and government to explore the themes of liberty and responsibility throughout America’s history and constitutional tradition.

Participating teachers will read a series of primary source documents, travel to a relevant historic site, and engage in conversation with a select group of colleagues over the course of a weekend. These conversations are open-ended – teachers are not expected to reach a set conclusion about the material, are not required to take an assessment, and are not asked to complete a lesson plan. Participating teachers are only expected to engage fully in conversation, taking an active role in each of the six discussion sessions throughout the weekend.

A special feature of our Liberty Fund Weekend Colloquia is the historical tour or experience, which enables participants to see firsthand the places where our history was made. These tours typically involve at least a moderate amount of walking, and the nature of some historic sites precludes access by people with some disabilities or challenges in moving – for example, the mansion at Mt. Vernon involves going up and down tight, steep stairs, and most sites do not have elevators. Please take this into consideration when deciding whether or not to apply, as participation in all parts of the program is required. Contact us if you have any questions.

Teachers selected to participate will have the cost of lodging, meals, and materials for the weekend’s colloquia covered through the generosity of Liberty Fund. In addition, participants will receive a stipend of $400 (contingent on full attendance at program activities) to defray the cost of travel to and from the program site.

Participation is based on a competitive application process. ",http://teachingamericanhistory.org/libertyfund/,,X
AISNE's Beginning Teacher Institute,Pedagogy,Association of Independent Schools New England (AISNE),"Tuesday, October 2, 2018",,"Southborough, MA","A full day, immersive program for new teachers starting at independent schools.

Begin your new role with energy and confidence. Spend a day together with your peer group of fellow beginning teachers from independent schools across New England, as well as master teachers there to support your success.",https://www.aisne.org/events,,
EdSurge FUSION Conference,"STEM, Technology",EdSurge,"Tuesday, October 2, 2018","Thursday, October 4, 2018","San Francisco, CA","Bringing together education leaders around learning, equity 
and technology

Come meet America's foremost education leaders, thinkers, researchers and technologists who are putting personalized learning into practice. Build deeper professional relationships with peers from around the country, crystallize your vision and practice for transforming schools and leave with a clear action agenda.",https://fusion.edsurge.com/,,
Learning Environments for Tomorrow: Next Practices for Educators and Architects,Pedagogy,Harvard Graduate School of Education,"Tuesday, October 2, 2018","Thursday, October 4, 2018","Cambridge, MA","Collaborate with architects and educators from around the world to apply principles of effective pedagogy and design to physical learning environment projects.

Overview
Physical spaces have an enormous impact on learners’ experiences. Building layouts can create opportunities for new relationships among students, staff, and the community. Furniture arrangements in classrooms and hallways can foster planned collaboration and spontaneous informal learning among students. Day-lighting, learning commons, and natural materials can create a sense of place and connection.

Whether we’re engaged in small-scale classroom remodeling or large-scale school planning, effective designs are based on clear sense of learners’ needs and educational goals. How can we understand the needs of the learners and the community for whom we are designing? What are the educational goals that should inform effective designs? And how can we plan and prototype solutions so they can evolve as needs and goals change over time?

Participants learn from educational and design leaders about emerging trends shaping today and tomorrow’s educational environments such as ubiquitous technologies, personalized learning, sustainable construction, and collaboration. Working in team-based design studios, participants apply the program content by engaging in a design process that spans five areas: the needs of people, design principles, program goals, plans, and prototypes. The program offers content and a process that participants can apply and bring back to their settings.  

Program Details
In this three-day collaborative program, you and your team will explore themes that inform 21st-century school design, such as collaboration, technology, engagement, and sustainability. You will take part in interactive plenary sessions given by leaders in the field of education and architecture, topic-specific workshops led by innovative practitioners and thinkers, guided site visits to provocative learning environments in the Boston-area, and a “design studio,” facilitated by experts in collaborative design processes. 

Each component is crafted to create opportunities for your team to consider the needs and values of your learners, the forward-looking educational goals for your community, and the qualities of the spaces that can support such needs and goals. Participants will have the opportunity to focus on a specific school design project they are currently involved in, or to work more abstractly within their design teams. Design studios will offer daily opportunities to get feedback on your plans and future prototyping can support the educational experiences for your community.  ",https://www.gse.harvard.edu/ppe/program/learning-environments-tomorrow-next-practices-educators-and-architects,,
